39.18,40.42,44.02,51.13,65.24,96.82,203.25,500,203.58,106.77,80.44,67.97,61.43,58.44,58.52,0,1,0,0
39.3,40.54,44.15,51.36,65.54,97,204.53,500,205,106.2,79.49,67.17,60.79,57.87,57.95,0,1,0,0
39.42,40.67,44.29,51.59,65.84,97.18,205.8,500,206.43,105.62,78.55,66.36,60.06,57.29,57.38,0,1,0,0
39.54,40.79,44.44,51.83,66.14,97.35,210.68,500,207.86,105.05,77.6,65.56,59.34,56.72,56.8,0,1,0,0
39.66,40.91,44.64,52.06,66.44,97.53,224.88,500,209.29,104.48,76.65,64.76,58.61,56.1,56.23,0,1,0,0
39.78,41.04,44.84,52.29,66.74,97.71,239.09,500,210.71,103.91,75.71,63.96,57.89,55.41,55.66,0,1,0,0
39.9,41.23,45.04,52.53,67.04,97.89,397.87,500,209.88,103.33,75.11,63.16,57.16,54.71,55.09,0,1,0,0
40.03,41.41,45.24,52.76,67.34,98.07,397.16,500,207.84,102.76,74.69,62.36,56.44,54.02,54.41,0,1,0,0
40.21,41.6,45.44,53,67.47,98.25,396.45,500,205.79,102.19,74.27,61.56,55.72,53.33,53.72,0,1,0,0
40.39,41.78,45.64,53.23,67.59,98.43,395.74,500,203.75,101.62,73.86,60.76,54.99,52.63,53.02,0,1,0,0
40.57,41.96,45.84,53.47,67.72,98.6,395,500,201.7,101.04,73.44,60.05,54.27,51.94,52.32,0,1,0,0
40.74,42.15,46.04,53.7,67.84,98.78,394.24,500,199.66,100.47,73.03,59.71,53.54,51.25,51.62,0,1,0,0
40.92,42.33,46.24,53.81,67.96,98.96,393.48,500,197.61,99.9,72.61,59.37,52.82,50.55,50.92,0,1,0,0
41.1,42.52,46.45,53.9,68.09,99.23,392.72,500,195.57,99.33,72.19,59.03,52.13,49.86,50.22,0,1,0,0
41.28,42.7,46.63,54,68.21,99.8,391.96,500,193.52,99.48,71.78,58.69,51.83,49.17,49.53,0,1,0,0
41.45,42.88,46.71,54.1,68.33,100.38,391.2,500,191.48,100.12,71.36,58.35,51.53,48.47,48.83,0,1,0,0
41.63,43.07,46.79,54.19,68.45,100.95,390.44,500,189.43,100.75,70.94,58.01,51.23,48.03,48.13,0,1,0,0
41.81,43.15,46.88,54.29,68.58,101.53,389.68,500,187.39,101.39,70.53,57.67,50.93,47.75,47.43,0,1,0,0
42,43.23,46.97,54.39,68.71,102.14,388.87,500,185.21,102.06,70.09,57.31,50.61,47.45,46.87,0,1,0,0
42.08,43.31,47.06,54.5,68.84,102.75,388.06,500,183.04,102.74,69.64,56.94,50.29,47.15,46.58,0,1,0,0
42.15,43.39,47.14,54.6,68.96,103.32,387.3,500,181,103.37,69.23,56.6,49.99,46.87,46.3,0,1,0,0
42.23,43.47,47.23,54.7,69.36,103.93,386.49,500,178.82,104.05,69.14,56.24,49.67,46.57,46,0,1,0,0
42.31,43.55,47.31,54.8,69.75,104.51,392.89,500,176.78,104.68,69.56,55.9,49.37,46.29,45.73,0,1,0,0
42.39,43.63,47.4,54.9,70.15,105.12,399.87,500,174.6,105.36,70.01,55.54,49.05,45.99,45.43,0,1,0,0
42.47,43.71,47.49,55.02,70.56,105.73,406.84,500,172.43,106.03,70.46,55.18,48.73,45.69,45.13,0,1,0,0
42.54,43.79,47.57,55.32,70.94,107.47,413.41,500,170.39,106.66,70.88,55.14,48.43,45.41,44.86,0,1,0,0
42.62,43.87,47.66,55.64,71.35,110.55,500,500,168.21,107.34,71.33,55.49,48.12,45.11,44.56,0,1,0,0
42.7,43.95,47.8,55.93,71.73,113.44,500,500,166.17,107.97,71.75,55.82,47.81,44.83,44.28,0,1,0,0
42.77,44.03,48.06,56.23,72.12,116.33,500,500,164.12,107.7,72.17,56.15,47.91,44.55,44,0,1,0,0
42.85,44.11,48.31,56.53,72.5,119.23,500,500,162.08,106.36,72.59,56.48,48.19,44.26,43.73,0,1,0,0
42.92,44.34,48.57,56.83,72.89,122.12,500,500,160.03,105.02,73.02,56.81,48.47,44.21,43.45,0,1,0,0
43,44.58,48.82,57.13,73.27,125.01,500,500,157.99,103.68,73.44,57.13,48.75,44.46,43.17,0,1,0,0
43.22,44.81,49.08,57.43,73.65,127.91,500,500,155.57,102.34,73.86,57.46,49.03,44.72,43.09,0,1,0,0
42.76,44.01,47.79,55.33,69.85,115.6,342.85,500,164.77,107.13,78.99,60.41,50.97,46.09,44.07,0,0,1,0
42.19,43.1,46.43,53.2,66.18,105.17,300.29,500,175.88,112.85,84.08,63.82,53.22,47.69,45.26,0,0,1,0
41.51,42.09,44.98,51.04,62.63,96.15,271.28,500,189.39,119.65,87.3,67.76,55.81,49.55,46.66,0,0,1,0
40.71,40.99,43.45,48.85,59.33,88.18,246.55,500,208.11,127.76,91.1,72.29,58.76,51.68,48.28,0,0,1,0
40.32,40.58,43.03,48.37,59.64,88.64,244.45,500,208.07,127.44,90.87,73.47,59.83,52.62,49.16,0,1,0,0
39.87,40.13,42.55,47.83,59.99,89.16,242.09,500,208.02,127.07,90.61,73.26,61.03,53.67,50.14,0,1,0,0
39.47,39.73,42.13,47.35,60.3,89.62,239.99,500,207.98,126.07,90.38,73.08,62.1,54.61,51.02,0,1,0,0
39.05,39.31,41.67,47.48,60.63,90.11,237.76,500,207.93,124.92,90.14,72.88,63.23,55.61,51.95,0,1,0,0
38.65,38.91,41.25,47.72,60.94,91.7,235.66,500,207.89,123.83,89.9,72.69,63.69,56.55,52.83,0,1,0,0
38.25,38.51,41.11,47.96,61.25,96.53,233.56,500,207.85,122.75,89.67,72.5,63.53,57.49,53.71,0,1,0,0
37.85,38.1,41.31,48.21,61.56,101.36,231.46,500,207.8,121.67,89.44,72.32,63.36,58.43,54.59,0,1,0,0
37.45,38,41.52,48.45,61.87,106.19,229.36,500,207.76,120.59,89.21,72.13,63.2,58.86,55.46,0,1,0,0
37.06,38.19,41.73,48.69,62.18,111.02,227.26,500,207.72,119.51,88.98,71.94,63.04,58.71,56.34,0,1,0,0
37.09,38.38,41.94,48.93,62.49,115.85,225.13,500,207.68,118.43,88.75,71.76,62.87,58.56,57.22,0,1,0,0
37.33,38.63,42.21,49.25,62.9,121.03,222.35,500,207.62,117.01,88.45,71.51,62.66,58.36,57.3,0,1,0,0
37.59,38.9,42.51,49.6,66.12,124.14,219.3,500,207.56,115.45,87.37,71.24,62.42,58.14,57.08,0,1,0,0
37.88,39.2,42.84,49.98,69.98,127.52,215.98,493.1,343.19,113.76,86.09,70.95,62.17,57.9,56.85,0,1,0,0
38.08,39.4,43.06,50.5,72.61,129.83,213.73,488,350.15,112.61,85.22,70.75,61.99,57.74,56.69,0,1,0,0
38.27,39.6,43.28,52.32,75.24,132.13,211.47,482.9,357.12,111.46,84.35,70.55,61.82,57.58,56.53,0,1,0,0
38.46,39.79,43.49,54.04,77.71,134.29,209.35,478.1,363.67,110.38,83.53,70.01,61.65,57.42,56.38,0,1,0,0
38.64,39.98,44.46,55.76,80.18,136.46,207.23,473.3,366.18,109.3,82.71,69.32,61.49,57.27,56.23,0,1,0,0
38.82,40.17,45.83,57.48,82.66,135.77,205.1,468.5,363.65,108.22,81.89,68.64,61.33,57.12,56.08,0,1,0,0
39.72,42.32,49.3,62.79,90.63,142.04,226.1,455.11,251.82,100.92,77.76,65.93,59.64,55.99,55.38,1,0,0,0
41.06,45.19,53.21,68.91,99.55,149.41,474.56,442.59,156.98,94.13,73.74,63.21,57.86,54.77,54.57,1,0,0,0
43.57,48.38,57.63,75.94,110.15,158.08,469.16,425.45,138.72,87.76,69.82,60.49,55.83,53.47,53.67,1,0,0,0
46.34,51.92,62.59,82.24,120.66,168.25,460.74,406.15,123.37,81.75,65.99,57.75,53.74,52.08,52.65,1,0,0,0
48.11,53.91,65,84.39,120.38,167.83,455.79,401.35,121.56,79.9,64.49,56.44,52.52,51.31,51.88,0,1,0,0
49.89,55.9,67.4,86.55,120.09,167.4,450.84,396.55,119.75,78.05,63,55.13,51.3,50.32,51.1,0,1,0,0
51.67,57.89,69.29,88.71,119.81,166.98,445.9,391.75,117.95,76.19,61.5,53.82,50.08,49.13,50.32,0,1,0,0
53.45,59.88,70.97,90.87,119.53,166.56,440.95,386.95,116.14,74.34,60,52.51,48.86,47.93,49.47,0,1,0,0
55.22,61.88,72.66,93.03,119.25,166.13,436,382.15,114.33,72.66,58.51,51.2,47.64,46.74,48.24,0,1,0,0
57,63.6,74.34,95.18,118.96,165.71,431.06,377.35,112.52,71.52,57.01,49.89,46.42,45.54,47.01,0,1,0,0
58.78,65.05,76.03,96.26,118.68,165.28,426.11,372.55,110.72,70.37,55.51,48.58,45.2,44.35,45.77,0,1,0,0
60.56,66.49,77.71,96.03,118.4,164.86,421.16,367.75,108.91,69.22,54.02,47.27,43.99,43.15,44.54,0,1,0,0
